I,Time,AltitudeM,DistanceM,HeartRate,Speed,RunCadence
0,2020-07-08T18:24:30.000Z,157.8000030517578,1.4299999475479126,91,1.4279999732971191,59
1,2020-07-08T18:24:31.000Z,157.1999969482422,2.8499999046325684,92,1.4279999732971191,0
2,2020-07-08T18:24:39.000Z,156.8000030517578,14.489999771118164,92,1.5399999618530273,59
3,2020-07-08T18:24:44.000Z,156.39999389648438,22.649999618530273,96,1.8009999990463257,92
4,2020-07-08T18:24:45.000Z,156.39999389648438,24.440000534057617,99,1.8009999990463257,92
5,2020-07-08T18:24:48.000Z,156.0,30.40999984741211,102,2.062000036239624,94
6,2020-07-08T18:24:50.000Z,155.8000030517578,34.84000015258789,105,2.2109999656677246,95
7,2020-07-08T18:24:52.000Z,155.60000610351562,39.38999938964844,110,2.2950000762939453,95
8,2020-07-08T18:24:54.000Z,155.1999969482422,44.06999969482422,115,2.3610000610351562,96
9,2020-07-08T18:24:56.000Z,154.8000030517578,48.869998931884766,120,2.4070000648498535,95
10,2020-07-08T18:24:57.000Z,154.60000610351562,51.33000183105469,121,2.4539999961853027,95
11,2020-07-08T18:24:58.000Z,154.60000610351562,53.779998779296875,118,2.4539999961853027,95
12,2020-07-08T18:25:02.000Z,154.60000610351562,63.72999954223633,123,2.500999927520752,96
13,2020-07-08T18:25:03.000Z,154.39999389648438,66.26000213623047,126,2.5290000438690186,96
14,2020-07-08T18:25:04.000Z,154.39999389648438,68.80000305175781,130,2.5380001068115234,96
15,2020-07-08T18:25:05.000Z,154.39999389648438,71.36000061035156,130,2.556999921798706,96
16,2020-07-08T18:25:07.000Z,154.39999389648438,76.47000122070312,126,2.556999921798706,98
17,2020-07-08T18:25:15.000Z,154.0,97.22000122070312,129,2.621999979019165,96
18,2020-07-08T18:25:17.000Z,154.0,102.47000122070312,125,2.621999979019165,97
19,2020-07-08T18:25:20.000Z,154.0,110.33000183105469,128,2.621999979019165,95
20,2020-07-08T18:25:24.000Z,154.1999969482422,120.9000015258789,131,2.6410000324249268,94
21,2020-07-08T18:25:31.000Z,153.8000030517578,139.2899932861328,127,2.61299991607666,93
22,2020-07-08T18:25:32.000Z,153.8000030517578,141.89999389648438,124,2.61299991607666,93
23,2020-07-08T18:25:33.000Z,153.60000610351562,144.50999450683594,124,2.61299991607666,93
24,2020-07-08T18:25:41.000Z,153.8000030517578,165.35000610351562,126,2.5940001010894775,95
25,2020-07-08T18:25:44.000Z,153.8000030517578,173.1699981689453,131,2.61299991607666,97
26,2020-07-08T18:25:46.000Z,153.8000030517578,178.4499969482422,138,2.6410000324249268,98
27,2020-07-08T18:25:47.000Z,153.8000030517578,181.11000061035156,142,2.6689999103546143,98
28,2020-07-08T18:25:48.000Z,153.8000030517578,183.7899932861328,146,2.677999973297119,98
29,2020-07-08T18:25:49.000Z,153.8000030517578,186.47999572753906,149,2.687000036239624,97
30,2020-07-08T18:25:50.000Z,153.60000610351562,189.1699981689453,152,2.687000036239624,96
31,2020-07-08T18:25:53.000Z,153.39999389648438,197.1699981689453,155,2.6589999198913574,95
32,2020-07-08T18:26:01.000Z,153.39999389648438,218.47999572753906,152,2.6689999103546143,91
33,2020-07-08T18:26:06.000Z,153.1999969482422,231.67999267578125,149,2.6410000324249268,95
34,2020-07-08T18:26:11.000Z,153.60000610351562,244.94000244140625,146,2.6500000953674316,94
35,2020-07-08T18:26:16.000Z,154.1999969482422,258.260009765625,143,2.6589999198913574,93
36,2020-07-08T18:26:24.000Z,153.60000610351562,279.4599914550781,141,2.63100004196167,95
37,2020-07-08T18:26:32.000Z,153.39999389648438,300.7900085449219,140,2.6689999103546143,93
38,2020-07-08T18:26:40.000Z,153.1999969482422,321.9700012207031,139,2.61299991607666,95
39,2020-07-08T18:26:48.000Z,153.39999389648438,342.9599914550781,139,2.621999979019165,93
40,2020-07-08T18:26:56.000Z,153.0,364.1000061035156,139,2.6500000953674316,93
41,2020-07-08T18:27:04.000Z,152.8000030517578,385.1600036621094,140,2.63100004196167,94
42,2020-07-08T18:27:06.000Z,152.60000610351562,390.4100036621094,141,2.621999979019165,95
43,2020-07-08T18:27:09.000Z,152.39999389648438,398.2799987792969,144,2.621999979019165,94
44,2020-07-08T18:27:13.000Z,152.60000610351562,408.80999755859375,147,2.63100004196167,92
45,2020-07-08T18:27:21.000Z,152.8000030517578,429.82000732421875,147,2.6029999256134033,95
46,2020-07-08T18:27:23.000Z,152.60000610351562,435.0299987792969,144,2.6029999256134033,95
47,2020-07-08T18:27:24.000Z,152.60000610351562,437.6300048828125,141,2.6029999256134033,94
48,2020-07-08T18:27:32.000Z,152.60000610351562,458.6499938964844,140,2.6500000953674316,94
49,2020-07-08T18:27:40.000Z,152.39999389648438,479.8500061035156,140,2.6410000324249268,95
50,2020-07-08T18:27:48.000Z,152.1999969482422,501.0199890136719,142,2.6500000953674316,96
51,2020-07-08T18:27:56.000Z,152.1999969482422,522.1099853515625,141,2.61299991607666,93
52,2020-07-08T18:28:04.000Z,152.1999969482422,542.8599853515625,141,2.5940001010894775,94
53,2020-07-08T18:28:12.000Z,152.0,563.6799926757812,141,2.621999979019165,94
54,2020-07-08T18:28:20.000Z,152.1999969482422,584.6400146484375,140,2.61299991607666,95
55,2020-07-08T18:28:28.000Z,152.39999389648438,605.739990234375,140,2.6500000953674316,94
56,2020-07-08T18:28:34.000Z,152.39999389648438,621.780029296875,143,2.6689999103546143,95
57,2020-07-08T18:28:41.000Z,152.60000610351562,640.469970703125,146,2.6689999103546143,93
58,2020-07-08T18:28:48.000Z,152.60000610351562,658.9400024414062,150,2.61299991607666,94
59,2020-07-08T18:28:50.000Z,152.8000030517578,664.1300048828125,154,2.5940001010894775,91
60,2020-07-08T18:28:53.000Z,153.0,671.7999877929688,151,2.5380001068115234,94
61,2020-07-08T18:29:01.000Z,153.0,691.9000244140625,154,2.509999990463257,93
62,2020-07-08T18:29:09.000Z,152.8000030517578,712.0700073242188,153,2.5290000438690186,94
63,2020-07-08T18:29:17.000Z,153.0,732.3300170898438,153,2.5290000438690186,93
64,2020-07-08T18:29:25.000Z,152.8000030517578,752.72998046875,151,2.5850000381469727,94
65,2020-07-08T18:29:33.000Z,153.1999969482422,773.4600219726562,148,2.6029999256134033,94
66,2020-07-08T18:29:38.000Z,153.0,786.510009765625,151,2.61299991607666,92
67,2020-07-08T18:29:46.000Z,152.8000030517578,807.3200073242188,150,2.6029999256134033,93
68,2020-07-08T18:29:54.000Z,153.1999969482422,828.0,153,2.575000047683716,92
69,2020-07-08T18:29:58.000Z,153.1999969482422,838.3400268554688,156,2.5850000381469727,92
70,2020-07-08T18:30:01.000Z,153.0,846.0900268554688,159,2.5850000381469727,92
71,2020-07-08T18:30:09.000Z,153.1999969482422,866.5800170898438,156,2.5850000381469727,93
72,2020-07-08T18:30:17.000Z,153.0,887.6900024414062,155,2.6500000953674316,91
73,2020-07-08T18:30:25.000Z,153.60000610351562,908.9199829101562,155,2.63100004196167,92
74,2020-07-08T18:30:33.000Z,153.39999389648438,929.77001953125,154,2.5940001010894775,94
75,2020-07-08T18:30:39.000Z,153.60000610351562,945.4000244140625,151,2.61299991607666,93
76,2020-07-08T18:30:44.000Z,153.60000610351562,958.4299926757812,150,2.5940001010894775,93
77,2020-07-08T18:30:55.000Z,153.39999389648438,976.4299926757812,149,2.556999921798706,91
78,2020-07-08T18:30:57.000Z,153.60000610351562,978.97998046875,149,2.6029999256134033,93
79,2020-07-08T18:30:58.000Z,153.60000610351562,981.6900024414062,145,2.6029999256134033,93
80,2020-07-08T18:30:59.000Z,153.60000610351562,983.9299926757812,147,2.6689999103546143,93
81,2020-07-08T18:31:01.000Z,153.60000610351562,987.530029296875,150,2.575000047683716,93
82,2020-07-08T18:31:02.000Z,153.39999389648438,989.6300048828125,152,2.575000047683716,91
83,2020-07-08T18:31:03.000Z,153.39999389648438,992.3900146484375,155,2.5380001068115234,91
84,2020-07-08T18:31:05.000Z,152.8000030517578,997.1599731445312,158,2.5190000534057617,92
85,2020-07-08T18:31:06.000Z,152.60000610351562,999.5599975585938,160,2.5190000534057617,98
86,2020-07-08T18:31:07.000Z,152.1999969482422,1002.3099975585938,160,2.5190000534057617,98
87,2020-07-08T18:31:09.000Z,151.60000610351562,1008.530029296875,161,2.546999931335449,98
88,2020-07-08T18:31:10.000Z,151.1999969482422,1011.6799926757812,161,2.546999931335449,98
