I,Time,AltitudeM,DistanceM,HeartRate,Speed,RunCadence,time,atemp,cad,hr,lat,lon
41,2020-05-17T19:27:22.000Z,68,309.6700134277344,129,2.5190000534057617,105,2020-05-17T19:27:18.000Z,26,103,132,43.71480538509786128997802734375,-79.3597966991364955902099609375
42,2020-05-17T19:27:25.000Z,68.19999694824219,316.8800048828125,124,2.7060000896453857,106,2020-05-17T19:27:22.000Z,26,105,129,43.71486724354326725006103515625,-79.35982394032180309295654296875
43,2020-05-17T19:27:27.000Z,68.5999984741211,322.739990234375,127,2.7709999084472656,104,2020-05-17T19:27:25.000Z,26,106,124,43.71491803787648677825927734375,-79.3598429672420024871826171875
44,2020-05-17T19:27:28.000Z,68.80000305175781,325.80999755859375,132,2.8459999561309814,104,2020-05-17T19:27:27.000Z,25,104,127,43.71494469232857227325439453125,-79.35985344462096691131591796875
45,2020-05-17T19:27:29.000Z,68.80000305175781,328.57000732421875,137,2.865000009536743,104,2020-05-17T19:27:28.000Z,25,104,132,43.71496849693357944488525390625,-79.35986299999058246612548828125
46,2020-05-17T19:27:30.000Z,68.5999984741211,331.0400085449219,141,2.865000009536743,100,2020-05-17T19:27:29.000Z,25,104,137,43.71498961932957172393798828125,-79.359872639179229736328125
47,2020-05-17T19:27:31.000Z,68.80000305175781,334.6300048828125,145,2.865000009536743,100,2020-05-17T19:27:30.000Z,25,100,141,43.71502130292356014251708984375,-79.35988244600594043731689453125
48,2020-05-17T19:27:33.000Z,68.5999984741211,346.239990234375,138,2.865000009536743,98,2020-05-17T19:27:31.000Z,25,100,145,43.7151261605322360992431640625,-79.3598939292132854461669921875
49,2020-05-17T19:27:34.000Z,68.4000015258789,349.69000244140625,133,2.882999897003174,98,2020-05-17T19:27:33.000Z,25,98,138,43.715156503021717071533203125,-79.3599029816687107086181640625
50,2020-05-17T19:27:35.000Z,68.4000015258789,354.010009765625,136,2.930000066757202,97,2020-05-17T19:27:34.000Z,25,98,133,43.7151948921382427215576171875,-79.3599120341241359710693359375
51,2020-05-17T19:27:36.000Z,68.19999694824219,357.489990234375,139,3.0230000019073486,97,2020-05-17T19:27:35.000Z,25,97,136,43.71522582136094570159912109375,-79.3599187396466732025146484375
52,2020-05-17T19:27:37.000Z,67.80000305175781,360.5899963378906,144,3.0510001182556152,97,2020-05-17T19:27:36.000Z,25,97,139,43.71525297872722148895263671875,-79.3599277921020984649658203125
53,2020-05-17T19:27:38.000Z,67.80000305175781,363.7200012207031,142,3.069999933242798,96,2020-05-17T19:27:37.000Z,25,97,144,43.71528021991252899169921875,-79.35993743129074573516845703125
54,2020-05-17T19:27:40.000Z,67.5999984741211,369.82000732421875,138,3.0880000591278076,95,2020-05-17T19:27:38.000Z,25,96,142,43.71533310972154140472412109375,-79.3599576316773891448974609375
55,2020-05-17T19:27:41.000Z,67.80000305175781,372.54998779296875,134,3.0880000591278076,94,2020-05-17T19:27:40.000Z,25,95,138,43.7153568305075168609619140625,-79.3599665164947509765625
56,2020-05-17T19:27:44.000Z,68,378.4700012207031,137,2.8550000190734863,94,2020-05-17T19:27:41.000Z,25,94,134,43.71540720574557781219482421875,-79.3599904887378215789794921875
57,2020-05-17T19:27:47.000Z,68,385.3599853515625,138,2.6500000953674316,95,2020-05-17T19:27:44.000Z,25,94,137,43.7154668010771274566650390625,-79.3600054085254669189453125
58,2020-05-17T19:27:51.000Z,68,394.3800048828125,138,2.5850000381469727,93,2020-05-17T19:27:47.000Z,25,95,138,43.71553394012153148651123046875,-79.35994363389909267425537109375
59,2020-05-17T19:27:53.000Z,68,400.55999755859375,141,2.575000047683716,96,2020-05-17T19:27:51.000Z,25,93,138,43.71558942832052707672119140625,-79.359947405755519866943359375
60,2020-05-17T19:27:55.000Z,67.80000305175781,407.6600036621094,143,2.7149999141693115,99,2020-05-17T19:27:53.000Z,25,96,141,43.71565178968012332916259765625,-79.359966851770877838134765625
61,2020-05-17T19:28:01.000Z,68.19999694824219,430.2300109863281,142,2.994999885559082,97,2020-05-17T19:27:55.000Z,25,99,143,43.71584524400532245635986328125,-79.36004497110843658447265625
62,2020-05-17T19:28:04.000Z,68.19999694824219,439.4599914550781,139,3.003999948501587,98,2020-05-17T19:28:01.000Z,25,97,142,43.715924955904483795166015625,-79.36007707379758358001708984375
63,2020-05-17T19:28:06.000Z,68.4000015258789,444.6099853515625,138,2.9860000610351562,99,2020-05-17T19:28:04.000Z,25,98,139,43.71597063727676868438720703125,-79.3600857071578502655029296875
64,2020-05-17T19:28:12.000Z,67.4000015258789,458.6199951171875,136,2.7809998989105225,96,2020-05-17T19:28:06.000Z,25,99,138,43.716010786592960357666015625,-79.35993256978690624237060546875
65,2020-05-17T19:28:14.000Z,67.4000015258789,462.3599853515625,140,2.6589999198913574,95,2020-05-17T19:28:12.000Z,25,96,136,43.71602847240865230560302734375,-79.35989334248006343841552734375
66,2020-05-17T19:28:16.000Z,67.19999694824219,466.6300048828125,144,2.5940001010894775,95,2020-05-17T19:28:14.000Z,25,95,140,43.7160505168139934539794921875,-79.35984992422163486480712890625
67,2020-05-17T19:28:17.000Z,67,468.7699890136719,146,2.5850000381469727,95,2020-05-17T19:28:16.000Z,25,95,144,43.716061078011989593505859375,-79.35982746072113513946533203125
68,2020-05-17T19:28:18.000Z,67,470.6600036621094,150,2.565999984741211,96,2020-05-17T19:28:17.000Z,25,95,146,43.7160692922770977020263671875,-79.35980650596320629119873046875
69,2020-05-17T19:28:20.000Z,67,474.9200134277344,154,2.5290000438690186,99,2020-05-17T19:28:18.000Z,24,96,150,43.71608664281666278839111328125,-79.35975931584835052490234375
70,2020-05-17T19:28:26.000Z,67.19999694824219,488.9599914550781,151,2.5380001068115234,100,2020-05-17T19:28:20.000Z,24,99,154,43.71612737886607646942138671875,-79.35959570109844207763671875
71,2020-05-17T19:28:29.000Z,67,496.6199951171875,148,2.575000047683716,97,2020-05-17T19:28:26.000Z,24,100,151,43.7161554582417011260986328125,-79.35950861312448978424072265625
72,2020-05-17T19:28:33.000Z,67,505.20001220703125,145,2.546999931335449,98,2020-05-17T19:28:29.000Z,24,97,148,43.7161727249622344970703125,-79.35940618626773357391357421875
73,2020-05-17T19:28:36.000Z,67,512.780029296875,144,2.509999990463257,98,2020-05-17T19:28:33.000Z,24,98,145,43.7161681987345218658447265625,-79.35931348241865634918212890625
74,2020-05-17T19:28:39.000Z,67.19999694824219,521.0499877929688,143,2.5190000534057617,98,2020-05-17T19:28:36.000Z,24,98,144,43.71619711630046367645263671875,-79.35921725817024707794189453125
