I,time,atemp,cad,hr,lat,lon
0,2020-05-03T17:44:37.000Z,,,,43.71465685777366161346435546875,-79.35865290462970733642578125
1,2020-05-03T17:49:25.000Z,29.0,90,145,43.71466423384845256805419921875,-79.35873429290950298309326171875
2,2020-05-03T17:49:28.000Z,29.0,89,146,43.71464378200471401214599609375,-79.35885935090482234954833984375
3,2020-05-03T17:49:32.000Z,29.0,89,143,43.71462970040738582611083984375,-79.3589219637215137481689453125
4,2020-05-03T17:49:34.000Z,29.0,88,141,43.7145692668855190277099609375,-79.35916126705706119537353515625
5,2020-05-03T17:49:43.000Z,29.0,92,140,43.7145660817623138427734375,-79.3592508696019649505615234375
6,2020-05-03T17:49:47.000Z,29.0,90,141,43.71456616558134555816650390625,-79.35932789929211139678955078125
7,2020-05-03T17:49:50.000Z,29.0,90,142,43.714638836681842803955078125,-79.35942160896956920623779296875
8,2020-05-03T17:49:54.000Z,29.0,91,145,43.7147835083305835723876953125,-79.3596022389829158782958984375
9,2020-05-03T17:50:00.000Z,29.0,84,147,43.71486187912523746490478515625,-79.3596991337835788726806640625
10,2020-05-03T17:50:05.000Z,29.0,94,148,43.71502675116062164306640625,-79.3597961962223052978515625
11,2020-05-03T17:50:13.000Z,29.0,90,149,43.71519933454692363739013671875,-79.35989074409008026123046875
12,2020-05-03T17:50:20.000Z,29.0,92,148,43.71537770144641399383544921875,-79.359944723546504974365234375
13,2020-05-03T17:50:28.000Z,29.0,90,147,43.71542036533355712890625,-79.35995738022029399871826171875
14,2020-05-03T17:50:30.000Z,29.0,91,148,43.71560418047010898590087890625,-79.36004539020359516143798828125
15,2020-05-03T17:50:38.000Z,29.0,94,147,43.71579377911984920501708984375,-79.36014287173748016357421875
16,2020-05-03T17:50:46.000Z,29.0,94,148,43.7159915082156658172607421875,-79.36017447151243686676025390625
17,2020-05-03T17:50:55.000Z,29.0,94,147,43.7160441465675830841064453125,-79.36014111153781414031982421875
18,2020-05-03T17:50:58.000Z,29.0,95,147,43.71608479879796504974365234375,-79.359999038279056549072265625
19,2020-05-03T17:51:05.000Z,29.0,95,149,43.71605931781232357025146484375,-79.360027872025966644287109375
20,2020-05-03T17:51:07.000Z,29.0,95,148,43.7160669453442096710205078125,-79.35998596251010894775390625
21,2020-05-03T17:51:09.000Z,29.0,95,148,43.716059736907482147216796875,-79.3599210865795612335205078125
22,2020-05-03T17:51:13.000Z,29.0,92,149,43.7160183303058147430419921875,-79.3598806858062744140625
23,2020-05-03T17:51:21.000Z,29.0,93,149,43.71603190898895263671875,-79.3597876466810703277587890625
24,2020-05-03T17:51:24.000Z,29.0,94,149,43.71594146825373172760009765625,-79.35974464751780033111572265625
25,2020-05-03T17:51:31.000Z,29.0,94,146,43.715911209583282470703125,-79.35975973494350910186767578125
26,2020-05-03T17:51:33.000Z,29.0,93,146,43.7159549631178379058837890625,-79.359529651701450347900390625
27,2020-05-03T17:51:37.000Z,29.0,93,148,43.71602981351315975189208984375,-79.35928523540496826171875
28,2020-05-03T17:51:42.000Z,29.0,94,146,43.716061748564243316650390625,-79.35919915325939655303955078125
29,2020-05-03T17:51:45.000Z,29.0,94,145,43.71609519235789775848388671875,-79.35916654765605926513671875
30,2020-05-03T17:51:48.000Z,29.0,96,142,43.716101981699466705322265625,-79.3591486103832721710205078125
31,2020-05-03T17:51:49.000Z,29.0,96,137,43.7161185778677463531494140625,-79.35911449603736400604248046875
32,2020-05-03T17:51:51.000Z,29.0,91,134,43.71616090647876262664794921875,-79.35893629677593708038330078125
33,2020-05-03T17:51:54.000Z,29.0,93,132,43.71627842076122760772705078125,-79.358553998172283172607421875
34,2020-05-03T17:51:58.000Z,29.0,92,132,43.7162513472139835357666015625,-79.3583037145435810089111328125
35,2020-05-03T17:52:05.000Z,29.0,93,131,43.7162523530423641204833984375,-79.35828183777630329132080078125
36,2020-05-03T17:52:06.000Z,29.0,93,131,43.7162168137729167938232421875,-79.35810497961938381195068359375
37,2020-05-03T17:52:12.000Z,29.0,93,132,43.71621421538293361663818359375,-79.35804043896496295928955078125
38,2020-05-03T17:52:15.000Z,29.0,93,130,43.71620683930814266204833984375,-79.35800540260970592498779296875
39,2020-05-03T17:52:17.000Z,29.0,93,131,43.716202564537525177001953125,-79.3579669296741485595703125
40,2020-05-03T17:52:19.000Z,29.0,94,131,43.7162049114704132080078125,-79.35792795382440090179443359375
41,2020-05-03T17:52:21.000Z,29.0,93,131,43.7161915004253387451171875,-79.35787464492022991180419921875
42,2020-05-03T17:52:23.000Z,29.0,93,131,43.71611899696290493011474609375,-79.357644058763980865478515625
43,2020-05-03T17:52:29.000Z,29.0,91,129,43.71605847962200641632080078125,-79.35739385895431041717529296875
44,2020-05-03T17:52:35.000Z,29.0,94,130,43.71604062616825103759765625,-79.35715111903846263885498046875
45,2020-05-03T17:52:42.000Z,29.0,92,132,43.7160421349108219146728515625,-79.35711725614964962005615234375
46,2020-05-03T17:52:43.000Z,29.0,92,132,43.71604322455823421478271484375,-79.357067048549652099609375
47,2020-05-03T17:52:44.000Z,29.0,92,133,43.716053031384944915771484375,-79.35689270496368408203125
48,2020-05-03T17:52:49.000Z,29.0,95,135,43.7160424701869487762451171875,-79.35669883154332637786865234375
49,2020-05-03T17:52:55.000Z,29.0,94,138,43.7160280533134937286376953125,-79.35657125897705554962158203125
50,2020-05-03T17:52:59.000Z,29.0,93,139,43.71607976965606212615966796875,-79.3563079833984375
51,2020-05-03T17:53:07.000Z,29.0,88,139,43.71610944159328937530517578125,-79.356047809123992919921875
52,2020-05-03T17:53:15.000Z,29.0,93,138,43.71612670831382274627685546875,-79.35596172697842121124267578125
53,2020-05-03T17:53:18.000Z,29.0,93,138,43.71618336997926235198974609375,-79.35577682219445705413818359375
54,2020-05-03T17:53:24.000Z,29.0,93,138,43.7162446416914463043212890625,-79.35562829487025737762451171875
55,2020-05-03T17:53:29.000Z,29.0,92,138,43.71625008992850780487060546875,-79.35545931570231914520263671875
56,2020-05-03T17:53:34.000Z,29.0,94,141,43.716360814869403839111328125,-79.35530458576977252960205078125
