I,time,atemp,cad,hr,lat,lon
31,2020-05-31T17:42:37.000Z,27.0,92,129,43.7147590331733226776123046875,-79.35772192664444446563720703125
32,2020-05-31T17:42:41.000Z,26.0,92,124,43.714698515832424163818359375,-79.357975311577320098876953125
33,2020-05-31T17:42:47.000Z,26.0,94,126,43.71466473676264286041259765625,-79.35823121108114719390869140625
34,2020-05-31T17:42:51.000Z,26.0,90,127,43.71464763768017292022705078125,-79.3583446182310581207275390625
35,2020-05-31T17:42:54.000Z,26.0,93,128,43.7146242521703243255615234375,-79.35846338979899883270263671875
36,2020-05-31T17:42:58.000Z,26.0,89,131,43.7146594561636447906494140625,-79.35856028459966182708740234375
37,2020-05-31T17:43:02.000Z,26.0,89,134,43.7146852724254131317138671875,-79.35869288630783557891845703125
38,2020-05-31T17:43:05.000Z,26.0,88,136,43.714683093130588531494140625,-79.35894333757460117340087890625
39,2020-05-31T17:43:12.000Z,26.0,87,135,43.714661300182342529296875,-79.35905867256224155426025390625
40,2020-05-31T17:43:16.000Z,26.0,90,132,43.7146624736487865447998046875,-79.35929319821298122406005859375
41,2020-05-31T17:43:24.000Z,25.0,90,131,43.71466959826648235321044921875,-79.35932672582566738128662109375
42,2020-05-31T17:43:26.000Z,25.0,89,131,43.714670352637767791748046875,-79.35936494730412960052490234375
43,2020-05-31T17:43:28.000Z,25.0,89,131,43.714632801711559295654296875,-79.3595159053802490234375
44,2020-05-31T17:43:34.000Z,25.0,93,132,43.7145970948040485382080078125,-79.35969762504100799560546875
45,2020-05-31T17:43:41.000Z,25.0,92,134,43.71471603401005268096923828125,-79.359764344990253448486328125
46,2020-05-31T17:43:49.000Z,25.0,92,135,43.71477403677999973297119140625,-79.35975235886871814727783203125
47,2020-05-31T17:43:53.000Z,25.0,93,133,43.714795075356960296630859375,-79.359750263392925262451171875
48,2020-05-31T17:43:54.000Z,25.0,93,133,43.7148351408541202545166015625,-79.3597519397735595703125
49,2020-05-31T17:43:56.000Z,25.0,93,133,43.715015687048435211181640625,-79.35979829169809818267822265625
50,2020-05-31T17:44:05.000Z,25.0,92,132,43.7150480411946773529052734375,-79.3597936816513538360595703125
51,2020-05-31T17:44:06.000Z,25.0,92,131,43.71525381691753864288330078125,-79.359738864004611968994140625
52,2020-05-31T17:44:11.000Z,25.0,90,131,43.71543536894023418426513671875,-79.3598262034356594085693359375
53,2020-05-31T17:44:17.000Z,24.0,91,130,43.71561817824840545654296875,-79.35993910767138004302978515625
54,2020-05-31T17:44:26.000Z,24.0,92,132,43.71576712466776371002197265625,-79.3600206635892391204833984375
55,2020-05-31T17:44:33.000Z,24.0,91,133,43.7158490158617496490478515625,-79.36004086397588253021240234375
56,2020-05-31T17:44:38.000Z,24.0,93,134,43.716029562056064605712890625,-79.3601048178970813751220703125
57,2020-05-31T17:44:46.000Z,24.0,92,136,43.71607691980898380279541015625,-79.36011965386569499969482421875
58,2020-05-31T17:44:48.000Z,24.0,94,137,43.71625327505171298980712890625,-79.36019307933747768402099609375
59,2020-05-31T17:44:56.000Z,24.0,93,138,43.71632468886673450469970703125,-79.36027773655951023101806640625
60,2020-05-31T17:45:05.000Z,24.0,89,137,43.7164944224059581756591796875,-79.3604278564453125
61,2020-05-31T17:45:12.000Z,23.0,90,136,43.71660229749977588653564453125,-79.36052081175148487091064453125
62,2020-05-31T17:45:17.000Z,23.0,89,137,43.71676222421228885650634765625,-79.36065861023962497711181640625
63,2020-05-31T17:45:25.000Z,23.0,90,135,43.71689214371144771575927734375,-79.36084552668035030364990234375
64,2020-05-31T17:45:33.000Z,23.0,89,134,43.7169074825942516326904296875,-79.36090436764061450958251953125
65,2020-05-31T17:45:35.000Z,23.0,88,135,43.71700412593781948089599609375,-79.3611129932105541229248046875
66,2020-05-31T17:45:43.000Z,23.0,91,135,43.71702273376286029815673828125,-79.3611327745020389556884765625
67,2020-05-31T17:45:44.000Z,23.0,91,135,43.717171847820281982421875,-79.3610529787838459014892578125
68,2020-05-31T17:45:55.000Z,23.0,89,133,43.717178218066692352294921875,-79.36102707870304584503173828125
69,2020-05-31T17:45:56.000Z,23.0,89,133,43.7172595225274562835693359375,-79.36079523526132106781005859375
70,2020-05-31T17:46:05.000Z,23.0,86,134,43.71736186556518077850341796875,-79.36056858859956264495849609375
71,2020-05-31T17:46:15.000Z,23.0,85,133,43.71751424856483936309814453125,-79.3604104220867156982421875
72,2020-05-31T17:46:24.000Z,23.0,91,134,43.7175468541681766510009765625,-79.36038318090140819549560546875
73,2020-05-31T17:46:26.000Z,23.0,91,134,43.7175808846950531005859375,-79.36035099439322948455810546875
74,2020-05-31T17:46:28.000Z,23.0,92,133,43.7175941281020641326904296875,-79.360329620540142059326171875
75,2020-05-31T17:46:29.000Z,23.0,92,133,43.71765590272843837738037109375,-79.36025016009807586669921875
76,2020-05-31T17:46:33.000Z,23.0,90,132,43.7177466787397861480712890625,-79.36001270078122615814208984375
77,2020-05-31T17:46:41.000Z,23.0,88,135,43.717861175537109375,-79.35978555120527744293212890625
78,2020-05-31T17:46:49.000Z,23.0,87,136,43.71789629571139812469482421875,-79.35960668139159679412841796875
79,2020-05-31T17:46:56.000Z,23.0,90,138,43.71801473200321197509765625,-79.3594801984727382659912109375
80,2020-05-31T17:47:03.000Z,23.0,97,135,43.71804448775947093963623046875,-79.35944323427975177764892578125
81,2020-05-31T17:47:05.000Z,23.0,94,134,43.71810416691005229949951171875,-79.359351284801959991455078125
