I,time,atemp,cad,hr,lat,lon
0,2020-07-06T18:11:55.000Z,,,,43.71527678333222866058349609375,-79.36075952835381031036376953125
1,2020-07-06T18:11:55.000Z,29.0,91,152,43.71528566814959049224853515625,-79.36072348617017269134521484375
2,2020-07-06T18:11:56.000Z,29.0,92,148,43.71529363095760345458984375,-79.3606848455965518951416015625
3,2020-07-06T18:11:57.000Z,29.0,92,144,43.7153035216033458709716796875,-79.36064536683261394500732421875
4,2020-07-06T18:11:58.000Z,29.0,92,147,43.71531550772488117218017578125,-79.360605217516422271728515625
5,2020-07-06T18:11:59.000Z,29.0,92,144,43.71532506309449672698974609375,-79.3605674989521503448486328125
6,2020-07-06T18:12:00.000Z,29.0,91,141,43.71533453464508056640625,-79.36052978038787841796875
7,2020-07-06T18:12:01.000Z,29.0,91,139,43.71535104699432849884033203125,-79.3604548461735248565673828125
8,2020-07-06T18:12:03.000Z,29.0,91,145,43.715359680354595184326171875,-79.36041620559990406036376953125
9,2020-07-06T18:12:04.000Z,29.0,91,144,43.715378455817699432373046875,-79.36034227721393108367919921875
10,2020-07-06T18:12:06.000Z,29.0,90,147,43.71538775973021984100341796875,-79.36023968271911144256591796875
11,2020-07-06T18:12:09.000Z,29.0,89,143,43.715402595698833465576171875,-79.360162653028964996337890625
12,2020-07-06T18:12:11.000Z,29.0,89,140,43.7154346145689487457275390625,-79.3600974418222904205322265625
13,2020-07-06T18:12:13.000Z,29.0,88,139,43.7156206928193569183349609375,-79.36015200801193714141845703125
14,2020-07-06T18:12:20.000Z,29.0,91,139,43.71579662896692752838134765625,-79.360216967761516571044921875
15,2020-07-06T18:12:27.000Z,29.0,93,138,43.71597826480865478515625,-79.36025409959256649017333984375
16,2020-07-06T18:12:34.000Z,29.0,91,138,43.7160535342991352081298828125,-79.36004974879324436187744140625
17,2020-07-06T18:12:41.000Z,29.0,91,142,43.71605537831783294677734375,-79.359985291957855224609375
18,2020-07-06T18:12:43.000Z,29.0,90,147,43.71606233529746532440185546875,-79.3599536083638668060302734375
19,2020-07-06T18:12:44.000Z,29.0,90,146,43.7160793505609035491943359375,-79.35976861976087093353271484375
20,2020-07-06T18:12:50.000Z,29.0,91,143,43.71610055677592754364013671875,-79.35960819013416767120361328125
21,2020-07-06T18:12:55.000Z,29.0,90,140,43.71614263392984867095947265625,-79.35933820903301239013671875
22,2020-07-06T18:13:03.000Z,29.0,90,142,43.71617448516190052032470703125,-79.3591576628386974334716796875
23,2020-07-06T18:13:08.000Z,29.0,92,145,43.716191165149211883544921875,-79.3590916134417057037353515625
24,2020-07-06T18:13:10.000Z,29.0,92,148,43.7162064202129840850830078125,-79.35882196761667728424072265625
25,2020-07-06T18:13:18.000Z,29.0,91,146,43.71619845740497112274169921875,-79.35855139978229999542236328125
26,2020-07-06T18:13:26.000Z,29.0,89,146,43.71616107411682605743408203125,-79.3582765571773052215576171875
27,2020-07-06T18:13:33.000Z,29.0,90,146,43.716134838759899139404296875,-79.35821235179901123046875
28,2020-07-06T18:13:35.000Z,29.0,91,143,43.7160863913595676422119140625,-79.35801143757998943328857421875
29,2020-07-06T18:13:42.000Z,29.0,87,146,43.71609024703502655029296875,-79.35792912729084491729736328125
30,2020-07-06T18:13:45.000Z,29.0,87,148,43.71599326841533184051513671875,-79.357683956623077392578125
31,2020-07-06T18:13:53.000Z,29.0,91,148,43.71590115129947662353515625,-79.3574299849569797515869140625
