I,time,atemp,cad,hr,lat,lon
0,2020-07-08T18:24:30.000Z,,,,43.71791909448802471160888671875,-79.35974858701229095458984375
1,2020-07-08T18:30:55.000Z,30.0,91,149,43.71799319051206111907958984375,-79.3598107807338237762451171875
2,2020-07-08T18:30:57.000Z,30.0,93,149,43.7180169112980365753173828125,-79.3598188273608684539794921875
3,2020-07-08T18:30:58.000Z,30.0,93,145,43.7180373631417751312255859375,-79.35981924645602703094482421875
4,2020-07-08T18:30:59.000Z,30.0,93,147,43.7180685438215732574462890625,-79.359807930886745452880859375
5,2020-07-08T18:31:01.000Z,30.0,93,150,43.71806141920387744903564453125,-79.35978370718657970428466796875
6,2020-07-08T18:31:02.000Z,30.0,91,152,43.7180501036345958709716796875,-79.3597531132400035858154296875
7,2020-07-08T18:31:03.000Z,30.0,91,155,43.71803359128534793853759765625,-79.35969804413616657257080078125
8,2020-07-08T18:31:05.000Z,30.0,92,158,43.71802587993443012237548828125,-79.3596699647605419158935546875
9,2020-07-08T18:31:06.000Z,30.0,98,160,43.718019090592861175537109375,-79.35963702388107776641845703125
10,2020-07-08T18:31:07.000Z,30.0,98,160,43.71800844557583332061767578125,-79.3595606647431850433349609375
11,2020-07-08T18:31:09.000Z,30.0,98,161,43.71801330707967281341552734375,-79.3595221079885959625244140625
12,2020-07-08T18:31:10.000Z,30.0,98,161,43.71804700233042240142822265625,-79.3593903444707393646240234375
13,2020-07-08T18:31:14.000Z,30.0,97,162,43.71810517273843288421630859375,-79.35933074913918972015380859375
14,2020-07-08T18:31:16.000Z,29.0,96,163,43.71827314607799053192138671875,-79.3592369556427001953125
15,2020-07-08T18:31:20.000Z,29.0,95,163,43.7184286303818225860595703125,-79.35920887626707553863525390625
16,2020-07-08T18:31:23.000Z,29.0,95,160,43.7185681052505970001220703125,-79.3591685593128204345703125
17,2020-07-08T18:31:27.000Z,29.0,96,157,43.71864647604525089263916015625,-79.35913511551916599273681640625
18,2020-07-08T18:31:30.000Z,29.0,96,153,43.71864597313106060028076171875,-79.359097816050052642822265625
19,2020-07-08T18:31:32.000Z,29.0,96,151,43.71868352405726909637451171875,-79.3589933775365352630615234375
20,2020-07-08T18:31:38.000Z,29.0,94,153,43.71878720819950103759765625,-79.35891903005540370941162109375
21,2020-07-08T18:31:43.000Z,29.0,95,152,43.71903120540082454681396484375,-79.3588824011385440826416015625
22,2020-07-08T18:31:46.000Z,29.0,96,151,43.7191561795771121978759765625,-79.35886119492352008819580078125
23,2020-07-08T18:31:48.000Z,29.0,96,151,43.719228096306324005126953125,-79.35869104228913784027099609375
24,2020-07-08T18:31:54.000Z,29.0,100,153,43.719163052737712860107421875,-79.35854570008814334869384765625
