I,Time,AltitudeM,DistanceM,HeartRate,Speed,RunCadence
0,2020-07-09T17:17:57.000Z,127.5999984741211,0.0,92,1.399999976158142,59
1,2020-07-09T17:17:58.000Z,127.5999984741211,1.399999976158142,93,0.9610000252723694,0
2,2020-07-09T17:18:01.000Z,127.5999984741211,4.25,94,1.222000002861023,59
3,2020-07-09T17:18:03.000Z,127.80000305175781,7.800000190734863,93,1.5119999647140503,59
4,2020-07-09T17:18:04.000Z,127.5999984741211,9.739999771118164,90,1.5210000276565552,59
5,2020-07-09T17:18:11.000Z,127.19999694824219,29.809999465942383,87,2.434999942779541,93
6,2020-07-09T17:18:16.000Z,126.5999984741211,45.060001373291016,89,2.5850000381469727,92
7,2020-07-09T17:18:17.000Z,126.5999984741211,48.560001373291016,94,2.6029999256134033,93
8,2020-07-09T17:18:18.000Z,126.5999984741211,51.59000015258789,99,2.6410000324249268,93
9,2020-07-09T17:18:19.000Z,126.4000015258789,54.38999938964844,103,2.6589999198913574,93
10,2020-07-09T17:18:20.000Z,126.19999694824219,57.95000076293945,108,2.677999973297119,93
11,2020-07-09T17:18:21.000Z,126.19999694824219,61.08000183105469,115,2.7060000896453857,92
12,2020-07-09T17:18:22.000Z,126.0,64.11000061035156,118,2.7339999675750732,92
13,2020-07-09T17:18:24.000Z,125.80000305175781,69.44999694824219,123,2.7149999141693115,93
14,2020-07-09T17:18:25.000Z,125.80000305175781,72.0199966430664,123,2.7149999141693115,93
15,2020-07-09T17:18:28.000Z,125.5999984741211,80.01000213623047,126,2.7149999141693115,92
16,2020-07-09T17:18:29.000Z,125.5999984741211,83.0199966430664,126,2.7249999046325684,92
17,2020-07-09T17:18:35.000Z,125.4000015258789,104.62999725341797,128,2.9210000038146973,93
18,2020-07-09T17:18:40.000Z,125.4000015258789,121.5,131,3.0230000019073486,93
19,2020-07-09T17:18:47.000Z,125.0,143.8699951171875,129,3.0420000553131104,91
20,2020-07-09T17:18:49.000Z,125.0,149.91000366210938,132,3.0230000019073486,92
21,2020-07-09T17:18:53.000Z,125.0,161.3699951171875,127,3.003999948501587,92
22,2020-07-09T17:18:59.000Z,124.80000305175781,177.89999389648438,130,2.930000066757202,91
23,2020-07-09T17:19:00.000Z,124.80000305175781,180.8800048828125,127,2.9210000038146973,91
24,2020-07-09T17:19:01.000Z,124.5999984741211,183.97999572753906,128,2.930000066757202,92
25,2020-07-09T17:19:04.000Z,124.5999984741211,192.8000030517578,133,2.930000066757202,93
26,2020-07-09T17:19:07.000Z,124.4000015258789,201.61000061035156,136,2.930000066757202,92
27,2020-07-09T17:19:11.000Z,124.4000015258789,214.07000732421875,139,2.947999954223633,93
28,2020-07-09T17:19:18.000Z,124.0,235.6300048828125,138,2.9670000076293945,93
29,2020-07-09T17:19:25.000Z,124.0,256.1600036621094,136,2.9670000076293945,92
30,2020-07-09T17:19:28.000Z,124.0,270.1099853515625,136,2.9670000076293945,91
31,2020-07-09T17:19:30.000Z,124.0,282.45001220703125,135,2.9860000610351562,91
32,2020-07-09T17:19:35.000Z,124.19999694824219,303.55999755859375,134,3.2100000381469727,89
33,2020-07-09T17:19:39.000Z,124.0,319.3599853515625,137,3.2660000324249268,93
34,2020-07-09T17:19:43.000Z,124.19999694824219,334.30999755859375,134,3.3589999675750732,96
35,2020-07-09T17:19:47.000Z,124.19999694824219,348.55999755859375,131,3.3959999084472656,94
36,2020-07-09T17:19:49.000Z,124.0,355.1400146484375,131,3.3589999675750732,93
37,2020-07-09T17:19:52.000Z,123.5999984741211,363.989990234375,132,3.3310000896453857,91
38,2020-07-09T17:19:54.000Z,123.4000015258789,370.3599853515625,131,3.322000026702881,95
39,2020-07-09T17:19:58.000Z,123.19999694824219,383.489990234375,128,3.302999973297119,94
40,2020-07-09T17:20:02.000Z,123.4000015258789,394.4700012207031,125,3.2100000381469727,93
41,2020-07-09T17:20:09.000Z,123.5999984741211,415.3399963378906,124,3.1070001125335693,93
42,2020-07-09T17:20:15.000Z,123.4000015258789,433.8999938964844,124,3.0980000495910645,93
43,2020-07-09T17:20:22.000Z,123.19999694824219,456.3399963378906,126,3.0789999961853027,93
44,2020-07-09T17:20:29.000Z,123.19999694824219,477.95001220703125,126,3.0980000495910645,94
45,2020-07-09T17:20:37.000Z,123.0,499.1000061035156,125,3.059999942779541,93
46,2020-07-09T17:20:44.000Z,122.80000305175781,521.2100219726562,126,3.0510001182556152,92
47,2020-07-09T17:20:48.000Z,122.5999984741211,527.0599975585938,126,3.0139999389648438,93
48,2020-07-09T17:20:56.000Z,122.5999984741211,547.5499877929688,129,2.8459999561309814,94
49,2020-07-09T17:21:01.000Z,122.5999984741211,558.2100219726562,132,2.7339999675750732,92
50,2020-07-09T17:21:04.000Z,122.5999984741211,569.6099853515625,137,3.0230000019073486,93
51,2020-07-09T17:21:05.000Z,122.5999984741211,572.9000244140625,137,3.0230000019073486,93
52,2020-07-09T17:21:12.000Z,122.4000015258789,593.97998046875,138,2.865000009536743,93
53,2020-07-09T17:21:13.000Z,122.4000015258789,597.2000122070312,142,2.8929998874664307,93
54,2020-07-09T17:21:19.000Z,122.19999694824219,616.7100219726562,145,2.930000066757202,92
55,2020-07-09T17:21:25.000Z,122.19999694824219,637.5599975585938,145,3.0510001182556152,90
56,2020-07-09T17:21:29.000Z,122.0,650.8300170898438,142,3.069999933242798,93
57,2020-07-09T17:21:31.000Z,121.80000305175781,657.3099975585938,145,3.0980000495910645,94
58,2020-07-09T17:21:37.000Z,121.80000305175781,679.280029296875,146,3.1440000534057617,93
59,2020-07-09T17:21:43.000Z,121.80000305175781,700.3699951171875,145,3.2190001010894775,93
60,2020-07-09T17:21:46.000Z,122.0,709.4400024414062,145,3.2100000381469727,92
61,2020-07-09T17:21:51.000Z,121.80000305175781,723.02001953125,145,3.0880000591278076,92
62,2020-07-09T17:21:55.000Z,121.4000015258789,734.6900024414062,144,3.059999942779541,91
63,2020-07-09T17:22:02.000Z,121.80000305175781,756.6900024414062,144,3.0789999961853027,92
64,2020-07-09T17:22:08.000Z,121.80000305175781,781.2999877929688,143,3.1540000438690186,92
65,2020-07-09T17:22:13.000Z,121.80000305175781,801.719970703125,141,3.4149999618530273,92
66,2020-07-09T17:22:19.000Z,121.80000305175781,824.1199951171875,142,3.4059998989105225,91
67,2020-07-09T17:22:25.000Z,122.0,845.9000244140625,144,3.4800000190734863,93
68,2020-07-09T17:22:29.000Z,121.80000305175781,856.9400024414062,144,3.3589999675750732,93
69,2020-07-09T17:22:37.000Z,122.0,879.8200073242188,145,3.181999921798706,93
70,2020-07-09T17:22:42.000Z,122.5999984741211,895.8200073242188,145,3.171999931335449,92
71,2020-07-09T17:22:52.000Z,122.19999694824219,916.239990234375,147,2.9210000038146973,93
72,2020-07-09T17:23:02.000Z,122.4000015258789,936.8099975585938,145,2.7249999046325684,94
73,2020-07-09T17:23:09.000Z,122.4000015258789,955.02001953125,145,2.677999973297119,93
74,2020-07-09T17:23:17.000Z,122.4000015258789,977.0,145,2.6500000953674316,92
