I,time,atemp,cad,hr,lat,lon
0,2020-05-24T17:13:25.000Z,,,,43.71471653692424297332763671875,-79.35764447785913944244384765625
1,2020-05-24T17:14:19.000Z,30.0,93,135,43.71471695601940155029296875,-79.35770583339035511016845703125
2,2020-05-24T17:14:21.000Z,30.0,93,138,43.71470916084945201873779296875,-79.35773299075663089752197265625
3,2020-05-24T17:14:22.000Z,30.0,93,143,43.714705221354961395263671875,-79.357767440378665924072265625
4,2020-05-24T17:14:23.000Z,30.0,93,147,43.71470765210688114166259765625,-79.3577992916107177734375
5,2020-05-24T17:14:24.000Z,30.0,93,150,43.714706562459468841552734375,-79.35783122666180133819580078125
6,2020-05-24T17:14:25.000Z,30.0,93,155,43.71471016667783260345458984375,-79.3578636646270751953125
7,2020-05-24T17:14:26.000Z,30.0,93,161,43.7147224880754947662353515625,-79.35789107345044612884521484375
8,2020-05-24T17:14:27.000Z,30.0,93,166,43.714737407863140106201171875,-79.3579335696995258331298828125
9,2020-05-24T17:14:29.000Z,30.0,91,169,43.71473648585379123687744140625,-79.35810816474258899688720703125
10,2020-05-24T17:14:35.000Z,30.0,92,165,43.71473263017833232879638671875,-79.358209334313869476318359375
11,2020-05-24T17:14:38.000Z,30.0,92,170,43.71472944505512714385986328125,-79.35824160464107990264892578125
12,2020-05-24T17:14:39.000Z,30.0,91,175,43.71472290717065334320068359375,-79.35830555856227874755859375
13,2020-05-24T17:14:41.000Z,30.0,91,172,43.71472475118935108184814453125,-79.35833036899566650390625
14,2020-05-24T17:14:42.000Z,30.0,91,168,43.714725673198699951171875,-79.3583526648581027984619140625
15,2020-05-24T17:14:43.000Z,30.0,91,165,43.7147241644561290740966796875,-79.3583791516721248626708984375
16,2020-05-24T17:14:44.000Z,30.0,91,165,43.71472156606614589691162109375,-79.35842617414891719818115234375
17,2020-05-24T17:14:46.000Z,30.0,91,158,43.71471955440938472747802734375,-79.35845098458230495452880859375
18,2020-05-24T17:14:47.000Z,30.0,91,153,43.71471653692424297332763671875,-79.35847914777696132659912109375
19,2020-05-24T17:14:48.000Z,30.0,91,148,43.71471427381038665771484375,-79.35850647278130054473876953125
20,2020-05-24T17:14:49.000Z,30.0,91,144,43.71471016667783260345458984375,-79.35853932984173297882080078125
21,2020-05-24T17:14:50.000Z,30.0,91,141,43.71470295824110507965087890625,-79.35857646167278289794921875
22,2020-05-24T17:14:51.000Z,30.0,91,138,43.714691139757633209228515625,-79.35864745639264583587646484375
23,2020-05-24T17:14:53.000Z,30.0,91,135,43.7146990187466144561767578125,-79.35881241224706172943115234375
24,2020-05-24T17:14:58.000Z,30.0,89,132,43.71469155885279178619384765625,-79.35907929204404354095458984375
25,2020-05-24T17:15:07.000Z,30.0,89,132,43.714626096189022064208984375,-79.35932823456823825836181640625
26,2020-05-24T17:15:15.000Z,30.0,90,131,43.7146021239459514617919921875,-79.35945128090679645538330078125
27,2020-05-24T17:15:20.000Z,30.0,89,134,43.71461913920938968658447265625,-79.359496794641017913818359375
28,2020-05-24T17:15:23.000Z,30.0,87,136,43.7147627212107181549072265625,-79.35965462587773799896240234375
29,2020-05-24T17:15:30.000Z,30.0,81,136,43.71485031209886074066162109375,-79.35979443602263927459716796875
30,2020-05-24T17:15:35.000Z,30.0,87,136,43.7150408327579498291015625,-79.3598686158657073974609375
31,2020-05-24T17:15:43.000Z,30.0,92,138,43.71513144113123416900634765625,-79.35989283956587314605712890625
32,2020-05-24T17:15:47.000Z,30.0,92,138,43.7153068743646144866943359375,-79.35995637439191341400146484375
33,2020-05-24T17:15:55.000Z,30.0,89,140,43.71549990959465503692626953125,-79.3599670194089412689208984375
34,2020-05-24T17:16:05.000Z,30.0,90,138,43.715622536838054656982421875,-79.3599790893495082855224609375
35,2020-05-24T17:16:10.000Z,30.0,93,134,43.715806938707828521728515625,-79.360050670802593231201171875
36,2020-05-24T17:16:19.000Z,30.0,90,135,43.71582881547510623931884765625,-79.3600659258663654327392578125
37,2020-05-24T17:16:20.000Z,30.0,90,138,43.7160210125148296356201171875,-79.3600816838443279266357421875
38,2020-05-24T17:16:28.000Z,30.0,90,136,43.71605210937559604644775390625,-79.36004094779491424560546875
39,2020-05-24T17:16:30.000Z,30.0,90,135,43.7160609103739261627197265625,-79.36002007685601711273193359375
40,2020-05-24T17:16:31.000Z,30.0,90,132,43.71611011214554309844970703125,-79.35991262085735797882080078125
41,2020-05-24T17:16:35.000Z,30.0,92,135,43.71610927395522594451904296875,-79.3598942644894123077392578125
42,2020-05-24T17:16:36.000Z,30.0,92,135,43.71611614711582660675048828125,-79.35988160781562328338623046875
