I,Time,AltitudeM,DistanceM,hr,Speed,RunCadence,lat,lon
0,2020-05-03T17:44:37.000Z,-5.400000095367432,0,98,0,0,43.71465685777366161346435546875,-79.35865290462970733642578125
1,2020-05-03T17:44:38.000Z,-5,0,98,0,59,43.71466423384845256805419921875,-79.35873429290950298309326171875
2,2020-05-03T17:44:41.000Z,-4.199999809265137,4.210000038146973,98,1.4739999771118164,59,43.71464378200471401214599609375,-79.35885935090482234954833984375
3,2020-05-03T17:44:50.000Z,-3.5999999046325684,21.059999465942383,102,2.2209999561309814,94,43.71462970040738582611083984375,-79.3589219637215137481689453125
4,2020-05-03T17:44:52.000Z,-3.5999999046325684,25.649999618530273,106,2.313999891281128,95,43.7145692668855190277099609375,-79.35916126705706119537353515625
5,2020-05-03T17:44:53.000Z,-3.5999999046325684,28,110,2.3510000705718994,95,43.7145660817623138427734375,-79.3592508696019649505615234375
6,2020-05-03T17:44:55.000Z,-3.5999999046325684,32.79999923706055,114,2.4170000553131104,95,43.71456616558134555816650390625,-79.35932789929211139678955078125
7,2020-05-03T17:44:57.000Z,-3.5999999046325684,37.689998626708984,117,2.4539999961853027,95,43.714638836681842803955078125,-79.35942160896956920623779296875
8,2020-05-03T17:44:58.000Z,-3.5999999046325684,40.13999938964844,123,2.4539999961853027,93,43.7147835083305835723876953125,-79.3596022389829158782958984375
9,2020-05-03T17:44:59.000Z,-3.799999952316284,42.599998474121094,128,2.4539999961853027,93,43.71486187912523746490478515625,-79.3596991337835788726806640625
10,2020-05-03T17:45:00.000Z,-4,45.060001373291016,131,2.4630000591278076,93,43.71502675116062164306640625,-79.3597961962223052978515625
11,2020-05-03T17:45:02.000Z,-4.199999809265137,50.02000045776367,136,2.490999937057495,94,43.71519933454692363739013671875,-79.35989074409008026123046875
12,2020-05-03T17:45:03.000Z,-4.199999809265137,52.529998779296875,136,2.509999990463257,91,43.71537770144641399383544921875,-79.359944723546504974365234375
13,2020-05-03T17:45:04.000Z,-4.199999809265137,55.060001373291016,132,2.5290000438690186,90,43.71542036533355712890625,-79.35995738022029399871826171875
14,2020-05-03T17:45:06.000Z,-4.199999809265137,60.119998931884766,135,2.5290000438690186,89,43.71560418047010898590087890625,-79.36004539020359516143798828125
15,2020-05-03T17:45:09.000Z,-3.5999999046325684,67.62000274658203,139,2.490999937057495,87,43.71579377911984920501708984375,-79.36014287173748016357421875
16,2020-05-03T17:45:10.000Z,-3.200000047683716,70.11000061035156,139,2.490999937057495,87,43.7159915082156658172607421875,-79.36017447151243686676025390625
17,2020-05-03T17:45:11.000Z,-3.200000047683716,72.61000061035156,138,2.500999927520752,87,43.7160441465675830841064453125,-79.36014111153781414031982421875
18,2020-05-03T17:45:13.000Z,-2.799999952316284,77.62000274658203,141,2.509999990463257,91,43.71608479879796504974365234375,-79.359999038279056549072265625
19,2020-05-03T17:45:14.000Z,-2.5999999046325684,80.16000366210938,138,2.5380001068115234,91,43.71605931781232357025146484375,-79.360027872025966644287109375
20,2020-05-03T17:45:16.000Z,-2.799999952316284,85.2699966430664,142,2.556999921798706,91,43.7160669453442096710205078125,-79.35998596251010894775390625
21,2020-05-03T17:45:17.000Z,-3.200000047683716,87.83000183105469,147,2.556999921798706,91,43.716059736907482147216796875,-79.3599210865795612335205078125
22,2020-05-03T17:45:18.000Z,-3.4000000953674316,90.38999938964844,152,2.556999921798706,91,43.7160183303058147430419921875,-79.3598806858062744140625
23,2020-05-03T17:45:19.000Z,-3.5999999046325684,92.95999908447266,157,2.575000047683716,92,43.71603190898895263671875,-79.3597876466810703277587890625
24,2020-05-03T17:45:20.000Z,-3.5999999046325684,95.55000305175781,162,2.5850000381469727,92,43.71594146825373172760009765625,-79.35974464751780033111572265625
25,2020-05-03T17:45:21.000Z,-3.5999999046325684,98.1500015258789,167,2.6029999256134033,92,43.715911209583282470703125,-79.35975973494350910186767578125
26,2020-05-03T17:45:22.000Z,-3.5999999046325684,100.75,172,2.6029999256134033,92,43.7159549631178379058837890625,-79.359529651701450347900390625
27,2020-05-03T17:45:26.000Z,-2.5999999046325684,111.27999877929688,177,2.6500000953674316,91,43.71602981351315975189208984375,-79.35928523540496826171875
28,2020-05-03T17:45:27.000Z,-2.4000000953674316,113.94000244140625,180,2.6589999198913574,91,43.716061748564243316650390625,-79.35919915325939655303955078125
29,2020-05-03T17:45:28.000Z,-2.4000000953674316,116.61000061035156,184,2.6689999103546143,92,43.71609519235789775848388671875,-79.35916654765605926513671875
30,2020-05-03T17:45:33.000Z,-2.4000000953674316,129.97999572753906,177,2.6500000953674316,90,43.716101981699466705322265625,-79.3591486103832721710205078125
31,2020-05-03T17:45:34.000Z,-2.200000047683716,132.58999633789062,174,2.61299991607666,90,43.7161185778677463531494140625,-79.35911449603736400604248046875
32,2020-05-03T17:45:35.000Z,-2,135.14999389648438,174,2.565999984741211,90,43.71616090647876262664794921875,-79.35893629677593708038330078125
33,2020-05-03T17:45:37.000Z,-2,140.30999755859375,177,2.5850000381469727,0,43.71627842076122760772705078125,-79.358553998172283172607421875
34,2020-05-03T17:45:41.000Z,-1.7999999523162842,150.63999938964844,173,2.5850000381469727,0,43.7162513472139835357666015625,-79.3583037145435810089111328125
35,2020-05-03T17:45:42.000Z,-1.7999999523162842,153.22999572753906,167,2.5850000381469727,59,43.7162523530423641204833984375,-79.35828183777630329132080078125
36,2020-05-03T17:45:43.000Z,-1.7999999523162842,155.67999267578125,163,2.4539999961853027,59,43.7162168137729167938232421875,-79.35810497961938381195068359375
37,2020-05-03T17:45:45.000Z,-2,160.27999877929688,160,2.249000072479248,59,43.71621421538293361663818359375,-79.35804043896496295928955078125
38,2020-05-03T17:45:49.000Z,-2.5999999046325684,168.52000427246094,157,1.9589999914169312,59,43.71620683930814266204833984375,-79.35800540260970592498779296875
